"pu_hour","pu_month","pu_wday","avg_tip_amount"
3,"Sep","Sun",1.91290740592153
3,"Sep","Mon",1.79294425817267
3,"Sep","Tue",1.85398266897747
3,"Sep","Wed",1.82531361550229
3,"Sep","Thu",1.86481593110872
3,"Sep","Fri",1.96623450772873
3,"Sep","Sat",1.95035596197561
3,"Oct","Sun",1.97706511809996
3,"Oct","Mon",1.91116806461634
3,"Oct","Tue",1.68466108786611
3,"Oct","Wed",1.90152256056902
3,"Oct","Thu",1.93022896500372
3,"Oct","Fri",2.14449372937294
3,"Oct","Sat",1.9938815990235
3,"Nov","Sun",1.93859861159666
3,"Nov","Mon",1.9026353232292
3,"Nov","Tue",1.92914267434421
3,"Nov","Wed",1.95668466257669
3,"Nov","Thu",1.93603827072998
3,"Nov","Fri",1.94313506931435
3,"Nov","Sat",1.97841573240213
3,"Dec","Sun",2.00916983202499
3,"Dec","Mon",1.9634777598525
3,"Dec","Tue",1.94997045166737
3,"Dec","Wed",1.97554587155963
3,"Dec","Thu",2.17084695393759
3,"Dec","Fri",2.14842756183746
3,"Dec","Sat",2.04439365779998
4,"Jan","Sun",1.60416796498257
4,"Jan","Mon",1.80410978043912
4,"Jan","Tue",1.74255533911812
4,"Jan","Wed",1.92862128541811
4,"Jan","Thu",1.84062070043777
4,"Jan","Fri",1.95979427003962
4,"Jan","Sat",1.64336981521136
4,"Feb","Sun",1.8541561848389
4,"Feb","Mon",2.22114382335389
4,"Feb","Tue",1.99633364529715
4,"Feb","Wed",2.35249216628368
4,"Feb","Thu",2.38901874521806
4,"Feb","Fri",2.16212031412061
4,"Feb","Sat",1.78722442565292
4,"Mar","Sun",1.93751385589865
4,"Mar","Mon",2.38594827586207
4,"Mar","Tue",2.12702826769751
4,"Mar","Wed",2.22638030270731
4,"Mar","Thu",2.3042865497076
4,"Mar","Fri",2.35385611348795
4,"Mar","Sat",1.96822736941621
4,"Apr","Sun",1.92387971857665
4,"Apr","Mon",2.36614449083318
4,"Apr","Tue",2.37367443623271
4,"Apr","Wed",2.28000677966102
4,"Apr","Thu",2.463827091485
4,"Apr","Fri",2.30520164143201
4,"Apr","Sat",1.91458058771149
4,"May","Sun",1.90961733302159
4,"May","Mon",2.32161394971614
4,"May","Tue",2.33827352085354
4,"May","Wed",2.2926874115983
4,"May","Thu",2.49388758092996
4,"May","Fri",2.50664846188141
4,"May","Sat",1.95761392148928
4,"Jun","Sun",1.94112206126811
4,"Jun","Mon",2.45754815745394
4,"Jun","Tue",2.28639704127893
4,"Jun","Wed",2.38855386678587
4,"Jun","Thu",2.36118819471062
4,"Jun","Fri",2.43733079526227
4,"Jun","Sat",1.94618236661849
4,"Jul","Sun",1.84134346024857
4,"Jul","Mon",2.29162143232359
4,"Jul","Tue",2.18801948051948
4,"Jul","Wed",2.22540446841294
4,"Jul","Thu",2.24310856498873
4,"Jul","Fri",2.22558975240715
4,"Jul","Sat",1.85852290679305
4,"Aug","Sun",1.92034298064274
4,"Aug","Mon",2.47083665338645
4,"Aug","Tue",2.19839261471626
4,"Aug","Wed",2.31170737725142
4,"Aug","Thu",2.35573639367067
4,"Aug","Fri",2.48317598236286
4,"Aug","Sat",1.93873940430827
4,"Sep","Sun",1.92911743397221
4,"Sep","Mon",2.31948282097649
4,"Sep","Tue",2.36588983050847
4,"Sep","Wed",2.30863772111188
4,"Sep","Thu",2.38564442602569
4,"Sep","Fri",2.53873475851148
4,"Sep","Sat",1.97982385289569
4,"Oct","Sun",2.01307808564232
4,"Oct","Mon",2.51719161275931
4,"Oct","Tue",2.36842025862069
4,"Oct","Wed",2.300420541852
4,"Oct","Thu",2.34229269960677
4,"Oct","Fri",2.45325798075454
4,"Oct","Sat",1.94569989929507
4,"Nov","Sun",1.91688758254147
4,"Nov","Mon",2.38974633175827
4,"Nov","Tue",2.2861008280565
4,"Nov","Wed",2.49637546878447
4,"Nov","Thu",2.42683336375251
4,"Nov","Fri",2.28775095441276
4,"Nov","Sat",1.93360535117057
4,"Dec","Sun",2.09015565211752
4,"Dec","Mon",2.51261355174981
4,"Dec","Tue",2.32921485088253
4,"Dec","Wed",2.34494094049476
4,"Dec","Thu",2.51496313963573
4,"Dec","Fri",2.56383848899465
4,"Dec","Sat",2.10897176873816
5,"Jan","Sun",2.00556103772083
5,"Jan","Mon",2.03483946590562
5,"Jan","Tue",1.82338364689892
5,"Jan","Wed",2.04847814396558
5,"Jan","Thu",1.89548933038999
5,"Jan","Fri",2.09012449652142
5,"Jan","Sat",2.10856015779093
5,"Feb","Sun",2.29613042829428
5,"Feb","Mon",2.52158539228435
5,"Feb","Tue",2.24086271720354
5,"Feb","Wed",2.4471800520729
5,"Feb","Thu",2.47268128321944
5,"Feb","Fri",2.39812453462398
5,"Feb","Sat",2.26974362566545
5,"Mar","Sun",2.35143710815047
5,"Mar","Mon",2.44027212319376
5,"Mar","Tue",2.15962789708697
5,"Mar","Wed",2.37206220707286
5,"Mar","Thu",2.41665712533224
5,"Mar","Fri",2.53648487169667
5,"Mar","Sat",2.51851440744478
5,"Apr","Sun",2.42120471409865
5,"Apr","Mon",2.47882165605096
5,"Apr","Tue",2.37495757678602
5,"Apr","Wed",2.46501988279615
5,"Apr","Thu",2.58020520520521
5,"Apr","Fri",2.61639843077218
5,"Apr","Sat",2.40700323724372
5,"May","Sun",2.42355934762911
5,"May","Mon",2.57396966019417
5,"May","Tue",2.42542994139584
5,"May","Wed",2.53728068043742
5,"May","Thu",2.54511518570757
5,"May","Fri",2.69236096215719
5,"May","Sat",2.32945079146593
5,"Jun","Sun",2.34379438202247
5,"Jun","Mon",2.66608123277886
5,"Jun","Tue",2.29727439397026
5,"Jun","Wed",2.53743300723097
5,"Jun","Thu",2.62207914701661
5,"Jun","Fri",2.63099499669593
5,"Jun","Sat",2.32573900424202
5,"Jul","Sun",2.36282807017544
5,"Jul","Mon",2.43810631823877
5,"Jul","Tue",2.16628636840599
5,"Jul","Wed",2.32065573770492
5,"Jul","Thu",2.48996340232206
5,"Jul","Fri",2.4149919624088
5,"Jul","Sat",2.21307389162562
5,"Aug","Sun",2.34039698221663
5,"Aug","Mon",2.4668375532715
5,"Aug","Tue",2.33226222392442
5,"Aug","Wed",2.37582261256804
5,"Aug","Thu",2.44390809112333
5,"Aug","Fri",2.45241047218326
5,"Aug","Sat",2.28320984387404
5,"Sep","Sun",2.39738181348489
5,"Sep","Mon",2.60933367294957
5,"Sep","Tue",2.31423726810824
5,"Sep","Wed",2.41853824362606
5,"Sep","Thu",2.49812367451725
5,"Sep","Fri",2.6875
5,"Sep","Sat",2.3896998298004
5,"Oct","Sun",2.58769364664926
5,"Oct","Mon",2.75536425420293
5,"Oct","Tue",2.35517327650111
5,"Oct","Wed",2.46785466153413
5,"Oct","Thu",2.52134961988554
5,"Oct","Fri",2.74807577054795
5,"Oct","Sat",2.50215784069239
5,"Nov","Sun",2.45790013869626
5,"Nov","Mon",2.69052892189962
5,"Nov","Tue",2.50645193815819
5,"Nov","Wed",2.61229256435753
5,"Nov","Thu",2.74574736125298
5,"Nov","Fri",2.7035587474351
5,"Nov","Sat",2.57854842864503
5,"Dec","Sun",2.76219474497682
5,"Dec","Mon",2.57760943414539
5,"Dec","Tue",2.46025148556876
5,"Dec","Wed",2.52708696767573
5,"Dec","Thu",2.69497031086273
5,"Dec","Fri",2.68083295711061
5,"Dec","Sat",2.62968983247636
6,"Jan","Sun",2.09569271332694
6,"Jan","Mon",1.70152487769956
6,"Jan","Tue",1.59882645558928
6,"Jan","Wed",1.60125763229308
6,"Jan","Thu",1.58622591165135
6,"Jan","Fri",1.66918704178555
6,"Jan","Sat",1.9483204598527
6,"Feb","Sun",2.2318698296837
6,"Feb","Mon",2.01394802450877
6,"Feb","Tue",1.94447981545559
6,"Feb","Wed",2.00013794860595
