"pu_month","pu_hour","airport","pos_dist","pos_tip","high_tip","num_trips","avg_trip_dist","avg_tip_amount","avg_fare_amount"
8,2,"N",TRUE,TRUE,TRUE,1,88.5,400.26,400.5
8,2,"Y",FALSE,TRUE,FALSE,46,0,4.07304347826087,26.3913043478261
8,2,"Y",TRUE,TRUE,FALSE,4110,13.3926763990268,4.77190510948905,39.1604890510949
9,2,"N",FALSE,FALSE,FALSE,2,0,-1.01,-2.5
9,2,"N",FALSE,TRUE,FALSE,1374,0,2.96893740902475,24.6300145560408
9,2,"N",FALSE,TRUE,TRUE,1,0,496.2,2.5
9,2,"N",TRUE,TRUE,FALSE,96124,2.91172839249303,1.90899234322334,11.5088592859223
9,2,"Y",FALSE,TRUE,FALSE,36,0,0.7975,14.6305555555556
9,2,"Y",TRUE,TRUE,FALSE,1699,14.5760035314891,5.28386698057681,42.0089170100059
10,2,"N",FALSE,FALSE,FALSE,1,0,-0.76,-2.5
10,2,"N",FALSE,TRUE,FALSE,1349,0,2.89713862120089,25.5971534469978
10,2,"N",TRUE,FALSE,FALSE,1,0.23,-1,-3
10,2,"N",TRUE,TRUE,FALSE,93871,2.91482864782521,1.91854502455497,11.5643270019495
10,2,"N",TRUE,TRUE,TRUE,1,0.2,299.99,0
10,2,"Y",FALSE,TRUE,FALSE,23,0,8.94695652173913,53.9521739130435
10,2,"Y",TRUE,TRUE,FALSE,1737,14.2847668393782,4.97549798503166,41.6382325849165
11,2,"N",FALSE,FALSE,FALSE,1,0,-3.12,-14.8
11,2,"N",FALSE,TRUE,FALSE,1471,-0.0912032630863358,2.71557443915704,25.434323589395
11,2,"N",TRUE,FALSE,FALSE,2,0.605,-1.035,-3.725
11,2,"N",TRUE,TRUE,FALSE,96932,2.88108127347006,1.92459786241902,11.4403910989147
11,2,"Y",FALSE,TRUE,FALSE,29,0,2.35,28.9551724137931
11,2,"Y",TRUE,TRUE,FALSE,1445,14.195508650519,4.43710726643599,40.8413010380623
12,2,"N",FALSE,FALSE,FALSE,4,0,-0.9975,-2.5
12,2,"N",FALSE,TRUE,FALSE,1492,-0.167071045576408,4.15924932975871,27.0534785522788
12,2,"N",TRUE,TRUE,FALSE,94565,3.01012975202242,1.97813303019087,11.7509204251044
12,2,"N",TRUE,TRUE,TRUE,1,52.2,289.45,137
12,2,"Y",FALSE,TRUE,FALSE,44,0,0.771590909090909,24.7886363636364
12,2,"Y",TRUE,TRUE,FALSE,2583,12.6128455284553,4.71898567557104,37.2551800232288
1,3,"N",FALSE,TRUE,FALSE,1061,0,2.63353440150801,20.2160791705938
1,3,"N",TRUE,FALSE,FALSE,1,0.33,-0.01,-4
1,3,"N",TRUE,TRUE,FALSE,74906,3.00765906602942,1.52329880116413,11.6793555923424
1,3,"Y",FALSE,TRUE,FALSE,41,0,6.57756097560976,40.8395121951219
1,3,"Y",TRUE,TRUE,FALSE,2045,13.8014474327628,4.96591687041565,41.0544792176039
2,3,"N",FALSE,FALSE,FALSE,2,0,-0.855,-2.5
2,3,"N",FALSE,TRUE,FALSE,1001,0,2.20987012987013,17.338971028971
2,3,"N",TRUE,TRUE,FALSE,67714,3.01702838408601,1.80847520453673,11.6861985704581
2,3,"Y",FALSE,TRUE,FALSE,26,0,6.89884615384615,39.2769230769231
2,3,"Y",TRUE,TRUE,FALSE,1799,14.2396998332407,6.0532518065592,42.0186548082268
3,3,"N",FALSE,FALSE,FALSE,1,0,-2.42,-11.8
3,3,"N",FALSE,TRUE,FALSE,1217,0,2.94832374691865,23.2891043549712
3,3,"N",TRUE,FALSE,FALSE,2,0.54,-2.32,-4.75
3,3,"N",TRUE,TRUE,FALSE,84944,3.03067197212281,1.85076521002072,11.7966393153136
3,3,"N",TRUE,TRUE,TRUE,2,3.585,313.175,69.5
3,3,"Y",FALSE,TRUE,FALSE,21,0,4.17714285714286,60.2380952380952
3,3,"Y",TRUE,TRUE,FALSE,2061,13.8251431344008,6.05144104803493,41.6527122755944
4,3,"N",FALSE,TRUE,FALSE,975,0,3.52643076923077,427.867035897436
4,3,"N",FALSE,TRUE,TRUE,1,0,280,20
4,3,"N",TRUE,FALSE,FALSE,1,0.53,-1.59,-4
4,3,"N",TRUE,TRUE,FALSE,65016,3.09376015134736,1.81047249907715,11.8599630860096
4,3,"Y",FALSE,TRUE,FALSE,24,0,5.73916666666667,40.8091666666667
4,3,"Y",TRUE,TRUE,FALSE,2132,14.0242120075047,5.92155722326454,41.9490619136961
5,3,"N",FALSE,TRUE,FALSE,868,0,2.64561059907834,22.6539055299539
5,3,"N",FALSE,TRUE,TRUE,1,0,270.89,20
5,3,"N",TRUE,FALSE,FALSE,1,0.07,-0.08,-13.8
5,3,"N",TRUE,TRUE,FALSE,64197,3.10798884683085,1.7745860398461,11.8514301291338
5,3,"Y",FALSE,TRUE,FALSE,36,0,5.76472222222222,52.8777777777778
5,3,"Y",TRUE,TRUE,FALSE,2414,13.6658285004142,5.54342170671085,41.4608533554267
6,3,"N",FALSE,TRUE,FALSE,1151,0,2.94236316246742,27.6655343179844
6,3,"N",TRUE,FALSE,FALSE,1,0.3,-2.04,-3
6,3,"N",TRUE,TRUE,FALSE,73066,3.12393096652342,1.8201903758246,11.994893931514
6,3,"Y",FALSE,TRUE,FALSE,50,0,5.923,41.9958
6,3,"Y",TRUE,TRUE,FALSE,2544,13.3310338050314,5.50443003144654,40.369072327044
7,3,"N",FALSE,FALSE,FALSE,3,0,-3.3,-2.5
7,3,"N",FALSE,TRUE,FALSE,979,0,2.84550561797753,26.2211746680286
7,3,"N",TRUE,FALSE,FALSE,1,0.13,-1.89,-2.5
7,3,"N",TRUE,TRUE,FALSE,55045,3.13756054137524,1.7411034608048,11.9777362158234
7,3,"Y",FALSE,TRUE,FALSE,55,0,4.49381818181818,35.9290909090909
7,3,"Y",TRUE,TRUE,FALSE,2531,13.8173449229554,5.46232714342157,41.6287198735678
8,3,"N",FALSE,FALSE,FALSE,1,0,-90.9,-35
8,3,"N",FALSE,TRUE,FALSE,1107,0,2.60837398373984,25.8731436314363
8,3,"N",TRUE,TRUE,FALSE,58685,3.13313742864446,1.76352969242566,11.9613226548522
8,3,"Y",FALSE,TRUE,FALSE,52,0,5.89115384615385,50.1378846153846
8,3,"Y",TRUE,TRUE,FALSE,2894,13.8235729094679,5.24114374568072,41.1435107118176
9,3,"N",FALSE,FALSE,FALSE,2,0,-1.79,-6.9
9,3,"N",FALSE,TRUE,FALSE,1088,0,2.7784375,21.5009283088235
9,3,"N",TRUE,FALSE,FALSE,1,4.07,-22,-19
9,3,"N",TRUE,TRUE,FALSE,64690,3.06075390323079,1.79247132477972,11.8185330035554
9,3,"Y",FALSE,TRUE,FALSE,27,0,4.28592592592593,35.4888888888889
9,3,"Y",TRUE,TRUE,FALSE,1879,13.6537839276211,5.43337945715806,41.5042096860032
10,3,"N",FALSE,FALSE,FALSE,1,0,-0.95,-2.5
10,3,"N",FALSE,TRUE,FALSE,1186,0,2.94016863406408,25.6813069139966
10,3,"N",TRUE,FALSE,FALSE,2,1.395,-1.82,-6.25
10,3,"N",TRUE,TRUE,FALSE,63569,3.06403058094354,1.81975270965408,11.821553430131
10,3,"Y",FALSE,TRUE,FALSE,36,0,5.70666666666667,48.5338888888889
10,3,"Y",TRUE,FALSE,FALSE,1,18.3,-66,-52
10,3,"Y",TRUE,TRUE,FALSE,2106,13.675465337132,6.03653371320038,40.9019230769231
11,3,"N",FALSE,FALSE,FALSE,1,0,-0.95,-2.5
11,3,"N",FALSE,TRUE,FALSE,1240,-0.0811290322580645,2.76628225806452,24.1382177419355
11,3,"N",TRUE,TRUE,FALSE,65110,3.04714559975426,1.81804960835509,11.7511569651359
11,3,"Y",FALSE,TRUE,FALSE,43,0,3.4153488372093,35.1767441860465
11,3,"Y",TRUE,TRUE,FALSE,2147,13.5082533768048,5.47396832789939,40.4627619934793
12,3,"N",FALSE,FALSE,FALSE,1,0,-4.69,-3
12,3,"N",FALSE,TRUE,FALSE,1200,-0.208341666666667,3.530475,25.4207416666667
12,3,"N",TRUE,FALSE,FALSE,2,0.49,-3.78,-3.75
12,3,"N",TRUE,TRUE,FALSE,63087,3.14009605782491,1.85216716597714,11.9943712650784
12,3,"N",TRUE,TRUE,TRUE,1,6,300,21.5
12,3,"Y",FALSE,TRUE,FALSE,46,0,5.7345652173913,38.1808695652174
12,3,"Y",TRUE,TRUE,FALSE,2647,13.5621269361541,5.5884888553079,40.4998677748394
1,4,"N",FALSE,TRUE,FALSE,1017,0,2.00500491642085,18.4917109144543
1,4,"N",TRUE,FALSE,FALSE,1,0.03,-5.28,-52
1,4,"N",TRUE,TRUE,FALSE,54957,3.23746492712484,1.30671142893535,12.1445499208472
1,4,"Y",FALSE,TRUE,FALSE,102,0,5.71588235294118,42.2213725490196
1,4,"Y",TRUE,TRUE,FALSE,5061,13.479762892709,6.40756965026675,40.2377178423237
2,4,"N",FALSE,FALSE,FALSE,1,0,-10.02,-49.3
2,4,"N",FALSE,TRUE,FALSE,981,0,2.28085626911315,18.3778593272171
2,4,"N",TRUE,FALSE,FALSE,1,0.05,-1.26,-2.5
2,4,"N",TRUE,TRUE,FALSE,48193,3.27173821924346,1.4968354325317,12.2120797626211
2,4,"Y",FALSE,TRUE,FALSE,73,0,6.63315068493151,42.8249315068493
2,4,"Y",TRUE,TRUE,FALSE,5046,13.4507748711851,6.865301228696,40.2976298057868
3,4,"N",FALSE,FALSE,FALSE,2,0,-6.17,-30.505
3,4,"N",FALSE,TRUE,FALSE,1048,0,2.81104007633588,22.4452194656489
3,4,"N",TRUE,TRUE,FALSE,60186,3.30031419266939,1.59164539926229,12.3927898514605
3,4,"Y",FALSE,TRUE,FALSE,91,0,6.52,46.138021978022
3,4,"Y",TRUE,TRUE,FALSE,5929,13.3724759655928,6.97575139146568,40.1230426716141
4,4,"N",FALSE,TRUE,FALSE,913,0,2.30209200438116,23.0422015334064
4,4,"N",FALSE,TRUE,TRUE,1,0,440.8,52
4,4,"N",TRUE,TRUE,FALSE,46613,3.31653036706498,1.54803595563469,12.3535668161243
4,4,"Y",FALSE,TRUE,FALSE,61,0,7.13229508196721,39.8331147540984
4,4,"Y",TRUE,TRUE,FALSE,6069,13.2351820728291,6.58551161641127,39.6689635854342
5,4,"N",FALSE,FALSE,FALSE,3,0,-4.25666666666667,-4.83333333333333
5,4,"N",FALSE,TRUE,FALSE,902,0,3.09623059866962,26.0489578713969
5,4,"N",TRUE,TRUE,FALSE,47920,3.33099060934891,1.5359774624374,12.3673357679466
5,4,"Y",FALSE,TRUE,FALSE,107,0,6.90663551401869,51.8985981308411
5,4,"Y",TRUE,TRUE,FALSE,6734,13.0693555093555,6.6920596970597,39.6099925749926
6,4,"N",FALSE,FALSE,FALSE,1,0,-3,-23.5
