"pu_month","pu_hour","airport","num_trips_airport","avg_trip_dist","avg_tip_amount","avg_fare_amount"
11,10,"Y",24260,11.7117971970322,6.03395754328112,37.2649567188788
12,10,"N",303186,1.99037712823151,1.74465763590667,10.6643641856814
12,10,"Y",24707,11.7571461529121,5.95946573845469,37.5863560934148
1,11,"N",353773,1.88113021626862,1.39489353342398,10.2056549256161
1,11,"Y",20177,12.1849219408237,6.39210487188383,38.0830187837637
2,11,"N",318061,1.93805534158542,1.70501897434769,10.8119581149528
2,11,"Y",20368,11.9621062450903,6.7471145915161,37.8670438923802
3,11,"N",352228,1.95254321064765,1.74128882428427,10.7400237346264
3,11,"Y",26078,11.8168218421658,6.44549812102155,37.6110211672674
4,11,"N",337605,1.9507245745768,1.75757974556064,10.8999280816339
4,11,"Y",27395,12.0394447891951,6.12064829348421,38.0107402810732
5,11,"N",343065,1.92205555798464,1.79925428125865,10.9816845787241
5,11,"Y",30062,11.971737409354,6.22145233184752,38.4042591976582
6,11,"N",316607,1.93664410452075,1.78831734611048,11.0677553244243
6,11,"Y",28108,12.1381193966131,6.21410594848442,38.7624551729045
7,11,"N",287672,2.00479938958258,1.70223149976362,11.0566747545816
7,11,"Y",25727,12.2123605550589,5.92422085746492,38.8010362654021
8,11,"N",271600,2.03195073637703,1.68603847569956,10.9727935935199
8,11,"Y",26581,11.928412776043,5.70112185395583,38.0482976562206
9,11,"N",292595,1.98892831388096,1.82375980450794,11.442619183513
9,11,"Y",26623,12.0586226195395,6.05411185816775,38.6551617022875
10,11,"N",332850,1.94868514345801,1.82314976716239,11.3169765660207
10,11,"Y",27858,11.993123698758,6.15496338574198,38.4740211070429
11,11,"N",319882,1.91922768395846,1.79673723435517,11.0295659962111
11,11,"Y",24008,11.6541669443519,6.0629865044985,37.5527890703099
12,11,"N",329084,1.90844453087965,1.7437945327029,10.8637864800476
12,11,"Y",25111,11.7783294173868,6.09187049500219,38.0173875990602
1,12,"N",374328,1.88252030304973,1.36651225663055,10.3026722286337
1,12,"Y",25015,12.4099676194283,6.35498181091345,38.5732748350989
2,12,"N",334994,1.92826474504021,1.67190597443536,10.4019143924966
2,12,"Y",25151,12.3238813566061,6.73046757584191,38.5531465945688
3,12,"N",368906,1.95380782638396,1.72778290404602,10.7266678232395
3,12,"Y",29761,12.0699270857834,6.5287003124895,38.1335902691442
4,12,"N",351951,1.94045759210799,1.74400675093976,10.9463598910076
4,12,"Y",30525,12.3754273546274,6.27525372645373,38.9439993447993
5,12,"N",359602,1.90569042997536,1.77830857447956,11.0374330509841
5,12,"Y",34251,12.4720504510817,6.46987124463519,39.8781521707395
6,12,"N",333563,1.91827324973094,1.77050446242539,11.1429782979527
6,12,"Y",30901,12.4030979579949,6.41377172259797,39.6677709459241
7,12,"N",306969,1.979047656278,1.67589724043796,11.0183422756044
7,12,"Y",28148,12.1999310785846,5.94883011226375,38.9756380559898
8,12,"N",295244,1.98154079337768,1.67422040752733,10.9367306024847
8,12,"Y",28831,12.129178661857,5.81691720717283,53.1440234469841
9,12,"N",311176,1.95986287502892,1.81060621641772,11.4127383538576
9,12,"Y",29421,12.309085347201,6.2664878828048,39.4651602596785
10,12,"N",346936,1.93095147231766,1.80916895335163,11.3677999112228
10,12,"Y",30725,12.1516947111473,6.25247095199349,39.1363020341741
11,12,"N",338354,1.89650842017532,1.78604925610455,11.0420643763632
11,12,"Y",29109,12.2991270741008,6.19948022948229,39.0663306881033
12,12,"N",349832,1.88317689633881,1.74595748816575,10.9404324647259
12,12,"Y",28988,12.3126486822133,6.1364126535118,39.3294832344418
1,13,"N",373404,1.90385314565457,1.35994957204529,10.0601545243222
1,13,"Y",29051,13.0754115176758,6.47288148428626,40.3179198650649
2,13,"N",335347,1.96013743972661,1.6626921964413,10.4108811768109
2,13,"Y",28432,13.1951621412493,6.87708251266179,40.6457642796849
3,13,"N",369045,1.97775387825333,1.70666896990882,10.6521309054451
3,13,"Y",34169,12.7365819895227,6.56181275425093,39.6989584125962
4,13,"N",351953,1.96649652084227,1.73825115853537,10.9338624191298
4,13,"Y",33954,12.9382561701125,6.3480476527066,40.4516015786064
5,13,"N",360857,1.91808738641623,1.77087779923903,11.022268738032
5,13,"Y",38491,12.9833283105141,6.51712114520277,41.2481213790237
6,13,"N",336295,1.9276341902199,1.75671847633774,11.0803129692681
